score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2583188,FurMark (GL),,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,Radeon RX 580 Series,3797,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2583188
2582503,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,4009,66,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2582503
2581993,FurMark (GL),,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Radeon RX 580 Series,3814,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2581993
2581893,FurMark (GL),,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 580 2048SP,2869,47,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2581893
2581828,FurMark (GL),,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,Radeon RX 580 Series,4384,72,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2581828
2581583,FurMark (GL),,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,Radeon RX 580 Series,3525,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2581583
2581453,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,AMD Radeon RX 580 2048SP,3357,55,1920x1080,60000,Windows 7 build 7601,,https://gpumagick.com/scores/2581453
2580998,FurMark (GL),,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,AMD Radeon RX 580 2048SP,3473,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2580998
2580933,FurMark (GL),,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,AMD Radeon RX 580 2048SP,2976,49,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2580933
2580808,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3707,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2580808
2580723,FurMark (GL),,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,2362,39,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2580723
2580673,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3713,61,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2580673
2580568,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,Radeon RX 580 Series,3711,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2580568
2580493,FurMark (GL),,AMD Ryzen 5 3500 6-Core Processor,AMD Radeon RX 580 2048SP,3567,59,1920x1080,60000,Windows 11 build 22000,,https://gpumagick.com/scores/2580493
2580323,FurMark (GL),,AMD Ryzen 5 1600 Six-Core Processor,AMD Radeon RX 580 Series (radeonsi polaris10 ACO DRM 3.64 7.0.1-1-cachyos),3967,66,1920x1080,60000,Linux 7.0.1-1-cachyos 64-bit,,https://gpumagick.com/scores/2580323
2580233,FurMark (GL),,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,3315,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2580233
2579838,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,AMD Radeon RX 580 2048SP,3000,50,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2579838
2579793,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,AMD Radeon RX 580 2048SP,2803,46,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2579793
2579678,FurMark (GL),,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 580 Series,3948,65,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2579678
2579573,FurMark (GL),,Intel(R) Core(TM) i5 CPU         750  @ 2.67GHz,Radeon RX 580 Series,4308,71,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2579573
2579533,FurMark (GL),,Intel(R) Core(TM) i5 CPU         750  @ 2.67GHz,Radeon RX 580 Series,3878,64,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2579533
